,City,City ID,Latitude,Longitude,Temperature (F),Humidity %,Cloudiness %,Wind Speed (mph),City Country,City Time
0,chokurdakh,2126123,70.63,147.92,42.49,83,100,11.07,RU,1597643372
1,reconquista,3429594,-29.15,-59.65,46.87,60,0,4.76,AR,1597643607
2,new norfolk,2155415,-42.78,147.06,55.44,82,79,1.23,AU,1597643334
3,honiara,2108502,-9.43,159.95,86,74,40,6.93,SB,1597643466
4,rikitea,4030556,-23.12,-134.97,70.59,77,2,12.35,PF,1597643328
5,palabuhanratu,,,,,,,,,
6,fortuna,5563839,40.6,-124.16,59.31,91,87,2.33,US,1597643349
7,bengkulu,1649150,-3.8,102.27,85.73,67,6,12.37,ID,1597643129
8,great yarmouth,2647984,52.61,1.73,63.01,97,67,3.87,GB,1597643346
9,butaritari,2110227,3.07,172.79,81.81,61,14,0.11,KI,1597643354
10,flin flon,5954718,54.77,-101.86,52.11,74,69,4.32,CA,1597643609
11,cape town,3369157,-33.93,18.42,45.3,93,20,9.17,ZA,1597643041
12,cabra,2520645,37.47,-4.44,64,68,0,0.96,ES,1597643451
13,taolanaro,,,,,,,,,
14,kirakira,2178753,-10.45,161.92,83.23,66,6,1.36,SB,1597643430
15,punta arenas,3874787,-53.15,-70.92,35.29,93,65,21.92,CL,1597643338
16,bathsheba,3374083,13.22,-59.52,80.6,88,75,21.92,BB,1597643459
17,smirnykh,2121126,49.75,142.83,57.27,87,100,1.36,RU,1597643611
18,qaanaaq,3831208,77.48,-69.36,34.09,80,41,9.46,GL,1597643349
19,port alfred,964432,-33.59,26.89,51.3,61,80,7.67,ZA,1597643123
20,bluff,2206939,-46.6,168.33,46,83,45,3,NZ,1597643355
21,illoqqortoormiut,,,,,,,,,
22,hobart,2163355,-42.88,147.33,55.71,81,75,8.05,AU,1597643129
23,mount gambier,2156643,-37.83,140.77,53.6,76,90,16.11,AU,1597643439
24,ushuaia,3833367,-54.8,-68.3,32,93,90,8.05,AR,1597643335
25,busselton,2075265,-33.65,115.33,53.87,87,82,7,AU,1597643333
26,thompson,6165406,55.74,-97.86,48.2,93,20,4.7,CA,1597643153
27,talnakh,1490256,69.49,88.4,71.6,37,47,13.42,RU,1597643354
28,port elizabeth,964420,-33.92,25.57,41,80,88,4.7,ZA,1597643336
29,nikolskoye,546105,59.7,30.79,58.75,82,0,6.71,RU,1597643343
30,kapaa,5848280,22.08,-159.32,75.54,74,1,12.75,US,1597643331
31,barrow,5880054,71.29,-156.79,41,86,90,16.11,US,1597643383
32,tasiilaq,3424607,65.61,-37.64,48.2,81,100,12.75,GL,1597643333
33,grand river south east,,,,,,,,,
34,mahebourg,934322,-20.41,57.7,75.2,69,40,16.11,MU,1597643358
35,zhigansk,2012530,66.77,123.37,58.71,38,0,10.18,RU,1597643349
36,saint-pierre,935214,-21.34,55.48,72.5,50,52,5.82,RE,1597643614
37,nasirabad,1261727,26.3,74.73,90.97,57,78,5.79,IN,1597643394
38,natal,3394023,-5.79,-35.21,70.74,94,40,5.82,BR,1597643367
39,sharkan,495688,57.3,53.87,57,83,62,3,RU,1597643615
40,chicama,3698359,-7.84,-79.15,59.65,84,84,5.53,PE,1597643615
41,upernavik,3418910,72.79,-56.15,40.8,66,48,6.02,GL,1597643139
42,puerto ayora,3652764,-0.74,-90.35,63,91,33,7.87,EC,1597643339
43,mar del plata,3430863,-38,-57.56,40.6,73,17,6.93,AR,1597643341
44,los llanos de aridane,2514651,28.66,-17.92,70.03,78,11,12.75,ES,1597643355
45,broken hill,2173911,-31.95,141.43,62.6,42,32,17.22,AU,1597643616
46,iqaluit,5983720,63.75,-68.51,41,93,75,9.37,CA,1597643617
47,ucluelet,6171633,48.93,-125.55,59.99,82,0,10.09,CA,1597643617
48,ribeira grande,3372707,38.52,-28.7,74.28,87,75,26.6,PT,1597643379
49,guerrero negro,4021858,27.98,-114.06,74.79,74,18,14.85,MX,1597643159
50,xichang,1789647,27.9,102.26,67.5,82,100,2.06,CN,1597643617
51,port hardy,6111862,50.7,-127.42,60.8,93,40,4.7,CA,1597643618
52,harrisburg,5192726,40.27,-76.88,63.12,88,1,0.56,US,1597643618
53,ancud,3899695,-41.87,-73.82,39.54,93,75,6.93,CL,1597643181
54,pundaguitan,1698289,6.37,126.17,84.85,71,98,10.56,PH,1597643619
55,ilulissat,3423146,69.22,-51.1,42.8,56,15,4.7,GL,1597643215
56,cayenne,3382160,4.93,-52.33,75.2,100,87,8.95,GF,1597643389
57,udachnyy,2014624,66.42,112.4,68,31,22,6.71,RU,1597643373
58,vaini,4032243,-21.2,-175.2,71.6,68,75,10.29,TO,1597643143
59,arraial do cabo,3471451,-22.97,-42.03,71.02,91,75,10.09,BR,1597643331
60,karakendzha,,,,,,,,,
61,carnarvon,2074865,-24.87,113.63,66.2,59,67,8.05,AU,1597643373
62,saint-nazaire,2977921,47.28,-2.2,60.91,100,40,5.82,FR,1597643620
63,pozo colorado,3437443,-23.49,-58.8,62.71,71,57,4.56,PY,1597643620
64,thai binh,1566346,20.45,106.33,82.4,88,75,9.17,VN,1597643565
65,esperance,2071860,-33.87,121.9,55.4,62,90,26.4,AU,1597643132
66,auriflama,3471309,-20.69,-50.55,69.35,68,70,14.74,BR,1597643621
67,sydney,2147714,-33.87,151.21,66.61,37,0,18.34,AU,1597643509
68,mataura,6201424,-46.19,168.86,46,83,38,3,NZ,1597643339
69,yei,363619,4.09,30.68,69.85,93,93,2.24,SS,1597643622
70,shirokiy,2016680,49.76,129.52,70.23,66,89,1.74,RU,1597643622
71,khatanga,2022572,71.97,102.5,71.64,53,30,3.47,RU,1597643343
72,vaitupu,,,,,,,,,
73,asyut,359783,27.18,31.18,80.6,42,0,8.05,EG,1597643623
74,dolbeau,,,,,,,,,
75,albany,5106841,42.6,-73.97,60.28,76,4,2.33,US,1597643174
76,sentyabrskiy,,,,,,,,,
77,hermanus,3366880,-34.42,19.23,39.99,94,100,7.45,ZA,1597643330
78,tsihombe,,,,,,,,,
79,barentsburg,,,,,,,,,
80,sorland,3137469,67.67,12.69,51.8,71,90,9.17,NO,1597643403
81,umzimvubu,,,,,,,,,
82,teguldet,1489822,57.31,88.17,73.65,44,42,7.45,RU,1597643624
83,atuona,4020109,-9.8,-139.03,77.97,77,2,16.51,PF,1597643344
84,hilo,5855927,19.73,-155.09,74.28,65,1,4.7,US,1597643351
85,sitka,5557293,57.05,-135.33,57.2,82,90,4.7,US,1597643464
86,yellowknife,6185377,62.46,-114.35,54.88,76,75,3.36,CA,1597643327
87,qaqortoq,3420846,60.72,-46.03,44.6,70,0,4.7,GL,1597643625
88,phrai bung,,,,,,,,,
89,nagar karnul,1262230,16.48,78.32,73.35,91,100,14.56,IN,1597643626
90,saint-fabien,,,,,,,,,
91,rocha,3440777,-34.48,-54.33,48.56,62,9,13.6,UY,1597643402
92,castro,3466704,-24.79,-50.01,59.61,96,100,4.52,BR,1597643326
93,tuktoyaktuk,6170031,69.45,-133.04,51.8,93,90,4.7,CA,1597643124
94,homer,5864145,59.64,-151.55,60.03,77,40,11.41,US,1597643382
95,codrington,2171099,-38.27,141.97,57.18,71,41,12.77,AU,1597643364
96,mehamn,778707,71.04,27.85,46.83,87,75,26.4,NO,1597643343
97,souillac,933995,-20.52,57.52,75.2,69,40,16.11,MU,1597643149
98,bredasdorp,1015776,-34.53,20.04,37.4,86,99,3.36,ZA,1597643118
99,coihaique,3894426,-45.58,-72.07,39.2,89,90,10.29,CL,1597643448
100,hobyo,57000,5.35,48.53,80.56,66,40,21.39,SO,1597643628
101,dikson,1507390,73.51,80.55,47.23,97,99,0.27,RU,1597643333
102,lompoc,5367788,34.64,-120.46,64.11,88,1,5.82,US,1597643333
103,papasquiaro,,,,,,,,,
104,ixtapa,4004293,20.7,-105.2,80.8,94,20,3.36,MX,1597643629
105,lagoa,3372964,39.05,-27.98,73.89,88,100,30.87,PT,1597643354
106,attawapiskat,,,,,,,,,
107,bambanglipuro,1650434,-7.95,110.28,83.8,68,76,15.73,ID,1597643629
108,saint-philippe,935215,-21.36,55.77,71.6,50,23,5.82,RE,1597643350
109,toliary,,,,,,,,,
110,vestmannaeyjar,3412093,63.44,-20.27,53.89,90,99,13.22,IS,1597643384
111,padang,1633419,-0.95,100.35,83.5,70,14,7.29,ID,1597643080
112,lavrentiya,4031637,65.58,-171,51.75,70,100,6.24,RU,1597643406
113,russell,4047434,32.35,-85.2,73.54,94,1,4.59,US,1597643631
114,narsaq,3421719,60.92,-46.05,44.6,70,0,4.7,GL,1597643631
115,dawei,1293625,14.08,98.2,85.66,69,92,7.43,MM,1597643631
116,mana,3381041,5.66,-53.78,77.9,84,100,8.52,GF,1597643582
117,dire dawa,338832,9.59,41.87,75.25,59,96,11.1,ET,1597643631
118,saint george,5546220,37.1,-113.58,100.4,8,1,5.82,US,1597643394
119,aden,415189,12.78,45.04,85.3,74,39,17.45,YE,1597643445
120,ostrovnoy,556268,68.05,39.51,45.52,84,80,17.34,RU,1597643250
121,college,5859699,64.86,-147.8,61.47,48,20,6.93,US,1597643632
122,kommunisticheskiy,1502750,61.68,64.48,50.9,93,100,8.3,RU,1597643632
123,camapua,3468020,-19.53,-54.04,67.64,75,14,6.58,BR,1597643633
124,provideniya,4031574,64.38,-173.3,50,81,90,8.95,RU,1597643361
125,amderma,,,,,,,,,
126,amahai,1651591,-3.33,128.92,80.49,78,98,11.95,ID,1597643633
